decor_id,name,item_id,id,att_file,source_parent_kind,source_parent_id,map_id,coord_x,coord_y,extra_spawns,awp_own,awp_ancestor,awp_ancestor_from,ancestry,own_fields,decision
9424,Goldshire Wardrobe,253527,9424,ExpansionFeatures.lua,n,88126,,,,,110207,110207,h+2,h:-735>x:6>h:-130>h:-115>gb:133>h:-58>n:88126,"{awp=110207,cost={{""c"",824,500},{""g"",3000000}},itemID=253527,sourceQuests={114},spellID=1256595}",concrete_att_source_needs_restriction_review
9424,Goldshire Wardrobe,253527,9424,Zones.lua,q,114,37,43.3,65.7,,110207,40003,h+2,h:-732>m:13>m:37>h:-45>q:114,"{awp=110207,itemID=253527,sourceQuests={114},spellID=1256595}",concrete_att_source_needs_restriction_review
9439,Scarred Orcish Spear,253542,9439,Zones.lua,q,92319,2541,46.3,56.7,,,120100,h+2,h:-732>m:2541>h:-45>q:92319,"{itemID=253542,spellID=1256610}",concrete_att_source_needs_restriction_review
9439,Scarred Orcish Spear,253542,9439,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253542,spellID=1256610}",concrete_att_source_needs_restriction_review
9440,Clefthoof Hide Rug,253543,9440,Zones.lua,q,92327,2541,48.5,71.4,"52.1,53.8",,120100,h+2,h:-732>m:2541>h:-45>q:92327,"{itemID=253543,spellID=1256611}",concrete_att_source_needs_restriction_review
9440,Clefthoof Hide Rug,253543,9440,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253543,spellID=1256611}",concrete_att_source_needs_restriction_review
9441,Weathered History of the Warchiefs,253544,9441,Zones.lua,q,92325,2541,68.2,58.5,,,120100,h+2,h:-732>m:2541>h:-45>q:92325,"{itemID=253544,spellID=1256612}",concrete_att_source_needs_restriction_review
9441,Weathered History of the Warchiefs,253544,9441,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253544,spellID=1256612}",concrete_att_source_needs_restriction_review
9475,Banner of the Ebon Blade,253598,9475,Zones.lua,q,92321,2541,37.7,53.6,"39,55.1;43.1,64.3",,120100,h+2,h:-732>m:2541>h:-45>q:92321,"{itemID=253598,spellID=1256817}",concrete_att_source_needs_restriction_review
9475,Banner of the Ebon Blade,253598,9475,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,500}},itemID=253598,spellID=1256817}",concrete_att_source_needs_restriction_review
9479,"""Silvermoon in Summer"" Painting",253602,9479,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253602,sourceAchievements={42117},spellID=1256821}",concrete_att_source_needs_restriction_review
9480,"""The Last Day of the Semester"" Painting",253603,9480,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253603,sourceAchievements={42117},spellID=1256822}",concrete_att_source_needs_restriction_review
9481,"""A Bridge Over Calm Waters"" Painting",253604,9481,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253604,sourceAchievements={42117},spellID=1256823}",concrete_att_source_needs_restriction_review
9482,"""Family Portrait"" Painting",253605,9482,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253605,sourceAchievements={42117},spellID=1256824}",concrete_att_source_needs_restriction_review
9484,"""Eversong in Bloom"" Painting",253607,9484,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253607,sourceAchievements={42117},spellID=1256826}",concrete_att_source_needs_restriction_review
9485,"""Nature's Strength"" Painting",253608,9485,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253608,sourceAchievements={42117},spellID=1256827}",concrete_att_source_needs_restriction_review
9491,"""Brunch and a Book"" Painting",253614,9491,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253614,sourceAchievements={42117},spellID=1256833}",concrete_att_source_needs_restriction_review
9492,"""Autumnal Eversong"" Painting",253615,9492,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253615,sourceAchievements={42117},spellID=1256834}",concrete_att_source_needs_restriction_review
9493,"""Isolation"" Painting",253616,9493,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253616,sourceAchievements={42117},spellID=1256835}",concrete_att_source_needs_restriction_review
9494,"""Reclamation"" Painting",253617,9494,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253617,sourceAchievements={42117},spellID=1256836}",concrete_att_source_needs_restriction_review
9495,"""The Light Blooms"" Painting",253618,9495,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253618,sourceAchievements={42117},spellID=1256837}",concrete_att_source_needs_restriction_review
9496,"""The Fallen Protectors"" Painting",253619,9496,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253619,sourceAchievements={42117},spellID=1256838}",concrete_att_source_needs_restriction_review
9497,"""River's Protectors"" Painting",253620,9497,Zones.lua,n,252915,2393,44.2,62.8,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:252915,"{cost=50000000,itemID=253620,sourceAchievements={42117},spellID=1256839}",concrete_att_source_needs_restriction_review
9624,Sandy Vulpera Banner,253700,9624,Zones.lua,q,92326,2541,45,81.4,,,120100,h+2,h:-732>m:2541>h:-45>q:92326,"{itemID=253700,spellID=1257070}",concrete_att_source_needs_restriction_review
9624,Sandy Vulpera Banner,253700,9624,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,250}},itemID=253700,spellID=1257070}",concrete_att_source_needs_restriction_review
10950,Sin'dorei Sleeper,256049,10950,Zones.lua,n,16528,95,47.6,32.2,,110207,70003,h+2,h:-732>m:13>m:95>h:-58>n:16528,"{awp=110207,cost=50000000,itemID=256049,minReputation={922,42000},spellID=1259847}",concrete_att_source_needs_restriction_review
11130,Kharanos Stone Bed,256330,11130,Zones.lua,n,1247,27,54.4,50.8,,110207,110207,h+2,h:-732>m:13>m:27>h:-58>n:1247,"{awp=110207,cost=6400000,itemID=256330,races={3,7,34},spellID=1260221}",concrete_att_source_needs_restriction_review
11133,Ornate Dwarven Wardrobe,256333,11133,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=10000000,itemID=256333,minReputation={47,21000},spellID=1260241}",concrete_att_source_needs_restriction_review
11133,Ornate Dwarven Wardrobe,256333,11133,Zones.lua,n,50309,87,55.8,47.8,,110207,40003,n+1,h:-732>m:13>m:87>h:-58>n:50309,"{awp=110207,cost=10000000,itemID=256333,minReputation={47,21000},spellID=1260241}",concrete_att_source_needs_restriction_review
11160,Shadowforge Stone Chair,256425,11160,ExpansionFeatures.lua,ach,8316,523,,,,110207,110207,ach+1,h:-735>x:5>h:-420>m:523>h:-12>ach:8316,"{awp=110207,itemID=256425,spellID=1260360}",concrete_att_source_needs_restriction_review
11160,Shadowforge Stone Chair,256425,11160,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=3500000,itemID=256425,spellID=1260360}",concrete_att_source_needs_restriction_review
11495,Baradin Bay Fishing Rack,257405,11495,Zones.lua,n,3178,56,6.3,57.4,,110207,40003,h+2,h:-732>m:13>m:56>h:-58>n:3178,"{awp=110207,itemID=257405,spellID=1261533}",concrete_att_source_needs_restriction_review
11499,Ornate Sin'dorei Sconce,257418,11499,Zones.lua,n,251091,2393,50.7,56.1,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:251091,"{cost={{""c"",3316,250}},itemID=257418,spellID=1261542}",concrete_att_source_needs_restriction_review
11499,Ornate Sin'dorei Sconce,257418,11499,Zones.lua,q,92025,2395,37.4,72.1,,,120001,m+5,h:-732>m:2537>m:2395>h:-45>ah:61957>ah:61957>q:92025,"{itemID=257418,spellID=1261542}",concrete_att_source_needs_restriction_review
11500,Sin'dorei Crafter's Forge,257419,11500,Zones.lua,n,16528,95,47.6,32.2,,110207,70003,h+2,h:-732>m:13>m:95>h:-58>n:16528,"{awp=110207,cost=50000000,itemID=257419,minReputation={922,42000},spellID=1261544}",concrete_att_source_needs_restriction_review
12140,Simple Bone-Tied Charm,258535,12140,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,750}},itemID=258535,spellID=1263452}",concrete_att_source_needs_restriction_review
12141,Windmark Tribal Charm,258536,12141,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,750}},itemID=258536,spellID=1263453}",concrete_att_source_needs_restriction_review
12142,Amani Dreamer's Charm,258537,12142,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,750}},itemID=258537,spellID=1263454}",concrete_att_source_needs_restriction_review
12143,Barebone Rope Charm,258538,12143,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,750}},itemID=258538,spellID=1263455}",concrete_att_source_needs_restriction_review
14583,Hearthlight Armillary,262453,14583,Zones.lua,o,617534,2395,44.6,45.6,,,120001,m+4,h:-732>m:2537>m:2395>h:-56>ah:61960>o:617534,"{description=""Complete any quest after looting the 'Gilded Armillary Sphere' to automatically collect this item."",itemID=262453,spellID=1280666}",concrete_att_source_needs_restriction_review
14970,Rack of Silvermoon Arms,263203,14970,Zones.lua,n,242725,2395,43.5,47.5,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242725,"{cost={{""c"",3379,150}},itemID=263203,minReputation={2712,3},spellID=1269951}",concrete_att_source_needs_restriction_review
14978,Farstrider's Comfy Cushion,263212,14978,Zones.lua,n,242724,2395,43.4,47.6,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242724,"{cost={{""c"",3379,150}},itemID=263212,minReputation={2713,3},spellID=1269964}",concrete_att_source_needs_restriction_review
14979,Gilded Lightwood Wardrobe,263216,14979,Zones.lua,n,242724,2395,43.4,47.6,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242724,"{cost={{""c"",3379,150}},itemID=263216,minReputation={2713,5},spellID=1269968}",concrete_att_source_needs_restriction_review
14995,Gentle Floating Planter,263224,14995,Zones.lua,n,242723,2395,43.5,47.5,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242723,"{cost={{""c"",3379,150}},itemID=263224,minReputation={2711,5},spellID=1269989}",concrete_att_source_needs_restriction_review
15013,Sunlit Glass Mirror,263225,15013,Zones.lua,n,242723,2395,43.5,47.5,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242723,"{cost={{""c"",3379,150}},itemID=263225,minReputation={2711,3},spellID=1270008}",concrete_att_source_needs_restriction_review
15284,Emerald-Encrusted Amani Ritual Skull,263874,15284,ExpansionFeatures.lua,n,258928,,,,,120001,120100,n+1,h:-735>x:12>h:-671>n:258928,"{awp=120001,itemID=263874,spellID=1270748}",concrete_att_source_needs_restriction_review
15486,Depthdiver's Cooking Spit,264251,15486,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,1000}},itemID=264251,spellID=1271496}",concrete_att_source_needs_restriction_review
15487,Zul'Aman Forest Hammock,264252,15487,Zones.lua,n,260180,2437,68.3,20.3,,,120005,h+3,h:-732>m:2537>m:2437>h:-730>h:-58>n:260180,"{cost={{""c"",3373,1000}},itemID=264252,spellID=1271497}",concrete_att_source_needs_restriction_review
16691,Farstriders' Pride Statue,265106,16691,Zones.lua,q,90867,2424,52.6,46.1,,,120001,h+4,h:-732>m:2537>h:-45>ah:42117>ah:42117>q:90867,"{itemID=265106,spellID=1274824}",concrete_att_source_needs_restriction_review
16691,Farstriders' Pride Statue,265106,16691,Zones.lua,n,259864,2395,43.2,47.5,,,120001,m+3,h:-732>m:2537>m:2395>h:-58>n:259864,"{cost={{""c"",3316,500}},itemID=265106,spellID=1274824}",concrete_att_source_needs_restriction_review
17294,Farstriders' Glory Statue,265631,17294,Zones.lua,q,90867,2424,52.6,46.1,,,120001,h+4,h:-732>m:2537>h:-45>ah:42117>ah:42117>q:90867,"{itemID=265631,spellID=1276489}",concrete_att_source_needs_restriction_review
17294,Farstriders' Glory Statue,265631,17294,Zones.lua,n,259864,2395,43.2,47.5,,,120001,m+3,h:-732>m:2537>m:2395>h:-58>n:259864,"{cost={{""c"",3316,500}},itemID=265631,spellID=1276489}",concrete_att_source_needs_restriction_review
17439,Preyseeker's Magister Effigy,265681,17439,ExpansionFeatures.lua,ach,62167,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62167,"{itemID=265681,spellID=1276749}",concrete_att_source_needs_restriction_review
17439,Preyseeker's Magister Effigy,265681,17439,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265681,spellID=1276749}",concrete_att_source_needs_restriction_review
17440,Preyseeker's Tinker Effigy,265682,17440,ExpansionFeatures.lua,ach,62168,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62168,"{itemID=265682,spellID=1276751}",concrete_att_source_needs_restriction_review
17440,Preyseeker's Tinker Effigy,265682,17440,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265682,spellID=1276751}",concrete_att_source_needs_restriction_review
17441,Preyseeker's Ethereal Effigy,265683,17441,ExpansionFeatures.lua,ach,62173,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62173,"{itemID=265683,spellID=1276753}",concrete_att_source_needs_restriction_review
17441,Preyseeker's Ethereal Effigy,265683,17441,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265683,spellID=1276753}",concrete_att_source_needs_restriction_review
17442,Preyseeker's Breaker Effigy,265684,17442,ExpansionFeatures.lua,ach,62174,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62174,"{itemID=265684,spellID=1276754}",concrete_att_source_needs_restriction_review
17442,Preyseeker's Breaker Effigy,265684,17442,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265684,spellID=1276754}",concrete_att_source_needs_restriction_review
17443,Preyseeker's Amani Effigy,265685,17443,ExpansionFeatures.lua,ach,62175,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62175,"{itemID=265685,spellID=1276755}",concrete_att_source_needs_restriction_review
17443,Preyseeker's Amani Effigy,265685,17443,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265685,spellID=1276755}",concrete_att_source_needs_restriction_review
17444,Preyseeker's Rutaani Effigy,265686,17444,ExpansionFeatures.lua,ach,62177,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62177,"{itemID=265686,spellID=1276756}",concrete_att_source_needs_restriction_review
17444,Preyseeker's Rutaani Effigy,265686,17444,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265686,spellID=1276756}",concrete_att_source_needs_restriction_review
17446,Preyseeker's Vindicator Effigy,265687,17446,ExpansionFeatures.lua,ach,62178,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62178,"{itemID=265687,spellID=1276757}",concrete_att_source_needs_restriction_review
17446,Preyseeker's Vindicator Effigy,265687,17446,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265687,spellID=1276757}",concrete_att_source_needs_restriction_review
17447,Preyseeker's Consul Effigy,265688,17447,ExpansionFeatures.lua,ach,62179,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62179,"{itemID=265688,spellID=1276758}",concrete_att_source_needs_restriction_review
17447,Preyseeker's Consul Effigy,265688,17447,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265688,spellID=1276758}",concrete_att_source_needs_restriction_review
17449,Preyseeker's Executor Effigy,265689,17449,ExpansionFeatures.lua,ach,62180,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62180,"{itemID=265689,spellID=1276760}",concrete_att_source_needs_restriction_review
17449,Preyseeker's Executor Effigy,265689,17449,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265689,spellID=1276760}",concrete_att_source_needs_restriction_review
17450,Preyseeker's Knight-Errant Effigy,265690,17450,ExpansionFeatures.lua,ach,62181,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62181,"{itemID=265690,spellID=1276761}",concrete_att_source_needs_restriction_review
17450,Preyseeker's Knight-Errant Effigy,265690,17450,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265690,spellID=1276761}",concrete_att_source_needs_restriction_review
17452,Preyseeker's Wretched Effigy,265691,17452,ExpansionFeatures.lua,ach,62182,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62182,"{itemID=265691,spellID=1276763}",concrete_att_source_needs_restriction_review
17452,Preyseeker's Wretched Effigy,265691,17452,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265691,spellID=1276763}",concrete_att_source_needs_restriction_review
17453,Preyseeker's Thornspeaker Effigy,265692,17453,ExpansionFeatures.lua,ach,62183,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62183,"{itemID=265692,spellID=1276765}",concrete_att_source_needs_restriction_review
17453,Preyseeker's Thornspeaker Effigy,265692,17453,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265692,spellID=1276765}",concrete_att_source_needs_restriction_review
17454,Preyseeker's Twilight Effigy,265694,17454,ExpansionFeatures.lua,ach,62184,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62184,"{itemID=265694,spellID=1276766}",concrete_att_source_needs_restriction_review
17454,Preyseeker's Twilight Effigy,265694,17454,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265694,spellID=1276766}",concrete_att_source_needs_restriction_review
17455,Preyseeker's Magister Bust,265696,17455,ExpansionFeatures.lua,ach,62144,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62144,"{itemID=265696,spellID=1276768}",concrete_att_source_needs_restriction_review
17455,Preyseeker's Magister Bust,265696,17455,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265696,spellID=1276768}",concrete_att_source_needs_restriction_review
17456,Preyseeker's Tinker Bust,265697,17456,ExpansionFeatures.lua,ach,62153,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62153,"{itemID=265697,spellID=1276769}",concrete_att_source_needs_restriction_review
17456,Preyseeker's Tinker Bust,265697,17456,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265697,spellID=1276769}",concrete_att_source_needs_restriction_review
17457,Preyseeker's Ethereal Bust,265698,17457,ExpansionFeatures.lua,ach,62155,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62155,"{itemID=265698,spellID=1276772}",concrete_att_source_needs_restriction_review
17457,Preyseeker's Ethereal Bust,265698,17457,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265698,spellID=1276772}",concrete_att_source_needs_restriction_review
17458,Preyseeker's Breaker Bust,265699,17458,ExpansionFeatures.lua,ach,62156,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62156,"{itemID=265699,spellID=1276773}",concrete_att_source_needs_restriction_review
17458,Preyseeker's Breaker Bust,265699,17458,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265699,spellID=1276773}",concrete_att_source_needs_restriction_review
17459,Preyseeker's Amani Bust,265700,17459,ExpansionFeatures.lua,ach,62157,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62157,"{itemID=265700,spellID=1276774}",concrete_att_source_needs_restriction_review
17459,Preyseeker's Amani Bust,265700,17459,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265700,spellID=1276774}",concrete_att_source_needs_restriction_review
17460,Preyseeker's Rutaani Bust,265701,17460,ExpansionFeatures.lua,ach,62159,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62159,"{itemID=265701,spellID=1276775}",concrete_att_source_needs_restriction_review
17460,Preyseeker's Rutaani Bust,265701,17460,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265701,spellID=1276775}",concrete_att_source_needs_restriction_review
17462,Preyseeker's Vindicator Bust,265702,17462,ExpansionFeatures.lua,ach,62160,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62160,"{itemID=265702,spellID=1276776}",concrete_att_source_needs_restriction_review
17462,Preyseeker's Vindicator Bust,265702,17462,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265702,spellID=1276776}",concrete_att_source_needs_restriction_review
17464,Preyseeker's Consul Bust,265703,17464,ExpansionFeatures.lua,ach,62161,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62161,"{itemID=265703,spellID=1276777}",concrete_att_source_needs_restriction_review
17464,Preyseeker's Consul Bust,265703,17464,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265703,spellID=1276777}",concrete_att_source_needs_restriction_review
17465,Preyseeker's Executor Bust,265704,17465,ExpansionFeatures.lua,ach,62162,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62162,"{itemID=265704,spellID=1276778}",concrete_att_source_needs_restriction_review
17465,Preyseeker's Executor Bust,265704,17465,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265704,spellID=1276778}",concrete_att_source_needs_restriction_review
17467,Preyseeker's Knight-Errant Bust,265705,17467,ExpansionFeatures.lua,ach,62163,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62163,"{itemID=265705,spellID=1276779}",concrete_att_source_needs_restriction_review
17467,Preyseeker's Knight-Errant Bust,265705,17467,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265705,spellID=1276779}",concrete_att_source_needs_restriction_review
17469,Preyseeker's Wretched Bust,265706,17469,ExpansionFeatures.lua,ach,62164,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62164,"{itemID=265706,spellID=1276780}",concrete_att_source_needs_restriction_review
17469,Preyseeker's Wretched Bust,265706,17469,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265706,spellID=1276780}",concrete_att_source_needs_restriction_review
17472,Preyseeker's Thornspeaker Bust,265707,17472,ExpansionFeatures.lua,ach,62165,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62165,"{itemID=265707,spellID=1276783}",concrete_att_source_needs_restriction_review
17472,Preyseeker's Thornspeaker Bust,265707,17472,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265707,spellID=1276783}",concrete_att_source_needs_restriction_review
17474,Preyseeker's Twilight Bust,265708,17474,ExpansionFeatures.lua,ach,62166,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62166,"{itemID=265708,spellID=1276785}",concrete_att_source_needs_restriction_review
17474,Preyseeker's Twilight Bust,265708,17474,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,800}},itemID=265708,spellID=1276785}",concrete_att_source_needs_restriction_review
17520,Preyseeker's Ren'dorei Effigy,265796,17520,ExpansionFeatures.lua,ach,62169,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62169,"{itemID=265796,spellID=1277176}",concrete_att_source_needs_restriction_review
17520,Preyseeker's Ren'dorei Effigy,265796,17520,ExpansionFeatures.lua,n,258181,2393,55.8,66,,,120100,h+1,h:-735>x:12>h:-671>h:-58>n:258181>h:-679,"{cost={{""c"",3392,1200}},itemID=265796,spellID=1277176}",concrete_att_source_needs_restriction_review
17521,Preyseeker's Farstrider Effigy,265797,17521,ExpansionFeatures.lua,ach,62176,,,,,,120100,h+2,h:-735>x:12>h:-671>h:-12>ach:62176,"{itemID=265797,spellID=1277177}",concrete_att_source_needs_restriction_review
